OBJECTID,TCE_NM_RIO,TCE_DS_CLASSE,SHAPE_Length
1876,sem nome,3,0.118618699886161
1877,Rio Piracuruca,4,0.194323351243175
1878,Rio Piracuruca,4,0.026061170185511
1879,sem nome,3,0.260183549853068
1880,Rio do Pejuaba,1,0.29778784741887
1881,Rio Arabé,1,0.298017776728663
1882,Rio do Pejuaba,4,0.145060809497059
1883,Rio Descoberto,4,0.0786408634628052
1884,sem nome,4,0.115723976472368
1885,Rio Alagado,4,0.199206973330791
1886,Rio São Bartolomeu,4,0.0614369954553984
1887,Ribeirão Santana,4,0.201752640736847
1888,Rio São Bartolomeu,4,0.00314704924472838
1889,sem nome,4,0.0839477472110771
1890,Rio Verde Grande,4,0.125426821868813
1891,Rio Verde Grande,4,0.0216372416586064
1892,Rio Verde Pequeno,2,0.179093511355848
1893,Rio Itaguari,999,0.0699066538039929
1894,sem nome,999,0.0504747897003161
1895,Rio Verde Pequeno,2,0.0509203562312861
1896,Rio Verde Pequeno,2,0.0411549467422228
1897,Rio Verde Pequeno,2,0.118451091402013
1898,Rio Itaguari,999,0.0383865963881648
1899,Rio Carinhanha,999,0.117591961630623
1900,Rio Carinhanha,999,0.0163032320005751
1901,Riacho Coité,999,0.0257476519032677
1902,Riacho Coité,999,0.126769974963105
1903,Rio Moxotó,999,0.0700969357326906
1904,Rio Ipanema,999,0.0915601744553232
1905,sem nome,999,0.218269083154354
1906,sem nome,999,0.0829683985763579
1907,Rio Moxotó,999,0.112040377721751
1908,Rio Moxotó,999,0.00757004543176539
1909,Rio Garanuzinho,999,0.112738583936482
1910,sem nome,999,0.0527844764114313
1911,Rio Canapi,999,0.0702272898296098
1912,Rio Garanuzinho,999,0.0764948436434237
1913,sem nome,5,0.191209940281068
1914,sem nome,5,0.117046155195898
1915,sem nome,5,0.0237448019686438
1916,sem nome,5,0.0832453720281891
1917,sem nome,5,0.0288561935244769
1918,Rio Pardo,5,0.177784364723638
1919,sem nome,5,0.0915153072510626
1920,Córrego das Areias,5,0.151859363495291
1921,Rio Pardo,5,0.128360965436743
1922,Rio Pardo,5,0.00859327314758358
1923,Córrego das Areias,5,0.0407440716245848
1924,Córrego das Areias,5,0.0332910083553454
1925,Rio Canoas,5,0.0437178723103891
1926,Rio Camanducaia ou da Guardinh,5,0.0617733341336403
1927,Rio Camanducaia ou da Guardinh,5,0.0931087989669144
1928,sem nome,5,0.0712456538054078
1929,Rio Atibaia,1,0.0775559135933091
1930,Rio Jaguari,1,0.207128502421183
1931,Rio Sapucaí-mirim,6,0.0667267755104048
1932,sem nome,6,0.140851608600443
1933,Rio Paranapanema,5,0.0134572275316814
1934,Rio Sapucaí,6,0.399601317168426
1935,Rio Camanducaia,5,0.365150468121784
1936,Rio Paranapanema,5,0.0985570759565253
1937,Rio Verde Pequeno,2,0.0137613015849548
1938,Rio Verde Pequeno,2,0.0338696488089943
1939,Rio Verde Grande,4,0.068566739053237
1940,Rio Carinhanha,999,0.0385750923937904
1941,Rio Carinhanha,999,0.0637618673609637
1942,Rio São Bartolomeu,4,0.280261182246708
1943,Rio São Marcos,4,0.0506414307452152
1944,sem nome,5,0.079994723532595
1945,sem nome,5,0.125005414282125
1946,Rio Sapucaí,6,0.103309807955782
1947,sem nome,5,0.154188603044642
1948,Rio Sapucaí-mirim,6,0.184141587566986
1949,Rio Aiuruoca,6,0.0902407897818106
1950,Rio Sapucaí,6,0.104482882513304
1951,Rio do Peixe,5,0.15057693881308
1952,Rio das Antas,5,0.178233577502541
1953,sem nome,5,0.154791512106028
1954,Rio do Peixe,5,0.0147423703343625
1955,Rio Itaguari,999,0.0360613358409262
1956,Rio Itaguari,999,0.0156447215623333
1957,Rio Carinhanha,999,0.109183345046204
1958,Rio Itaguari,999,0.062169553941887
1959,Rio Carinhanha,999,0.0506505969126951
1960,Rio Itaguari,999,0.0573936360491811
1961,Rio Itaguari,999,0.0148739431321361
1962,Rio Carinhanha,999,0.0968883338932243
1963,Rio Carinhanha,999,0.0168163102129223
1964,Rio Itaguari,999,0.0507461936732282
1965,Rio Carinhanha,999,0.00384902354215706
1966,Rio Itaguari,999,0.00596208301016611
1967,Rio Carinhanha,999,0.0298544110977863
1968,Rio Itaguari,999,0.034912869274426
1969,Rio Moxotó,999,0.0304122245405132
1970,Rio Moxotó,999,0.0111550201223534
1971,Rio Moxotó,999,0.0101353131205261
1972,Rio Moxotó,999,0.0195348174735602
1973,Rio Moxotó,999,0.0151990018327976
1974,Rio Moxotó,999,0.0269830772224178
1975,Rio Ipanema,999,0.0445594625776284
1976,Rio Ipanema,999,0.0221308551739141
1977,Rio Ipanema,999,0.146418672832183
1978,Rio Moxotó,999,0.0596951147444753
1979,Rio Ipanema,999,0.0516416813565476
1980,Rio Ipanema,999,0.0144442181693196
1981,Rio Moxotó,999,0.0205898890074461
1982,Rio Moxotó,999,0.00853025802008704
1983,Rio São Bartolomeu,4,0.0301623421399174
1984,Rio São Bartolomeu,4,0.0123972506219361
1985,Rio São Marcos,4,0.0960502852251436
1986,Rio São Marcos,4,0.0307668140110264
1987,Rio São Marcos,4,0.0345882883090699
1988,Rio São Bartolomeu,4,0.0452369717002157
1989,Rio São Bartolomeu,4,0.0904595773873121
1990,Rio São Marcos,4,0.175472157305035
1991,Rio São Bartolomeu,4,0.0515139463476401
1992,Rio São Marcos,4,0.0223875911730833
1993,Rio São Bartolomeu,4,0.0709151563496009
1994,Rio São Marcos,4,0.0740337836170454
1995,Rio São Marcos,4,0.0873241967903362
1996,Rio Sapucaí-mirim,6,0.060882728674179
1997,sem nome,5,0.140357120260509
1998,Rio Sapucaí,6,0.120724514426407
1999,Rio do Peixe,5,0.0846881409791326
2000,Rio das Antas,5,0.191601398154708
2001,sem nome,5,0.1114113278536
2002,Rio do Peixe,5,0.059131268940092
2003,Rio do Peixe,5,0.00467208783053147
2004,Rio do Peixe,5,0.0150594374174131
2005,Rio das Antas,5,0.025639855294855
2006,Rio Sapucaí,6,0.0407802186790982
2007,Rio do Peixe,5,0.0223536690892451
2008,Rio do Peixe,5,0.0144518707464094
2009,Rio Carinhanha,999,0.043379513141227
2010,Rio Itaguari,999,0.06738126839713
2011,Rio Itaguari,999,0.063847359542558
2012,Rio Carinhanha,999,0.147172086599571
2013,Rio Carinhanha,999,0.0165052348076591
2014,Rio Verde Grande,4,0.143638901248883
2015,Rio Itaguari,999,0.0834197110014423
2016,Rio Itaguari,999,0.00285996953990274
2017,Rio Verde Grande,4,0.012542822128609
2018,Rio Carinhanha,999,0.0578100231589641
2019,Rio Carinhanha,999,0.152747520493884
2020,Rio Carinhanha,999,0.0242563836755071
2021,Rio Verde Grande,4,0.111309429826371
2022,Rio Ipanema,999,0.0519975934766357
2023,Rio Ipanema,999,0.0297925327232238
2024,Rio Moxotó,999,0.133657937503091
2025,Rio Moxotó,999,0.015433391673761
2026,Rio Moxotó,999,0.0124967871302862
2027,Rio Ipanema,999,0.104840670183408
2028,Rio Moxotó,999,0.0463133010800473
2029,Rio Ipanema,999,0.0388751250838762
2030,Rio Moxotó,999,0.00933078067475851
2031,Rio Moxotó,999,0.0269334626003476
2032,Rio Ipanema,999,0.0843625135487242
2033,Rio Moxotó,999,0.0608467221032643
2034,Rio Ipanema,999,0.0475885607334657
2035,Rio São Marcos,4,0.0452064668918547
2036,Rio São Marcos,4,0.0410333278993023
2037,Rio São Marcos,4,0.101874839557382
2038,Rio São Marcos,4,0.0393403433607699
2039,Rio São Marcos,4,0.00296211445526654
2040,Rio São Marcos,4,0.0510922057667992
2041,Rio São Marcos,4,0.0272124162691379
2042,Rio São Marcos,4,0.151873908741517
2043,Rio São Marcos,4,0.226292129381981
2044,Rio São Marcos,4,0.0677438069574153
2045,Rio São Marcos,4,0.140635174937479
2046,Rio São Marcos,4,0.0809761904891816
2047,Ribeirão Verde,4,0.141513117004625
2048,Ribeirão do Cachoeirinha,5,0.305801056679521
2049,Rio do Peixe,5,0.13064073404838
2050,Ribeirão Fundo,5,0.117019785606374
2051,Rio Jaguari,1,0.120249391096455
2052,Rio Jaguari,1,0.0333223844057419
