X,Y,OBJECTID,cd,cdestacao,sguf,entidade,corpodagua,ambiente,latitude,longitude,nuecoli,med_2001,med_2003,med_2004,med_2005,med_2006,med_2007,med_2008,med_2009,med_2010,med_2011,med_2012,med_2013,med_2014,med_2015,med_2016,med_2017,med_2018,med_2019,med_2020,min_2001,min_2003,min_2004,min_2005,min_2006,min_2007,min_2008,min_2009,min_2010,min_2011,min_2012,min_2013,min_2014,min_2015,min_2016,min_2017,min_2018,min_2019,min_2020,max_2001,max_2003,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020
-45.9299999999999,-23.1949999999999,3738,7079,PARB02300,SP,CETESB,Rio Paraíba do Sul,1,-23.195,-45.93,7,,,,,,,,,,,,,,,,,,,2748.57142857,,,,,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,5300
-50.557444,-17.543528,3739,7080,GO8494I4,GO,SEMARH,RIO VERDÃO,1,-17.543528,-50.557444,2,,,,,,,,,,,,,,,,,,,517,,,,,,,,,,,,,,,,,,,517,,,,,,,,,,,,,,,,,,,517
-49.1065649999999,-25.425288,3740,7081,65001500,PR,IAT,Rio Iraí,1,-25.425288,-49.106565,2,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,210
-37.776249,-4.85646799999995,3741,7082,1397,CE,COGERH,Rio Jaguaribe,1,-4.856468,-37.776249,17,,,,,,,,,,,,,293500.33333333,47.15,,45.5,39.325,51.9,,,,,,,,,,,,,,1,1,,7.4,1,21.1,,,,,,,,,,,,,,866400,93.3,,83.6,125,107.1,
-48.171389,-21.2022219999999,3742,7083,MOGU02800,SP,CETESB,Rio Mogi-Guaçu,1,-21.202222,-48.171389,8,,,,,,,,,,,,,,,,,,,4321.5,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,20000
-42.9399999999999,-16.6199999999999,3743,7084,JE033,MG,IGAM,Ribeirão Extrema,1,-16.62,-42.94,8,,,,,,,,,,,,,,,,,,,488.05,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3255.4
-40.37028,-10.97833,3744,7085,ITPRPD200,BA,INEMA,das Pedras,1,-10.97833,-40.37028,4,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,640
-50.13661,-29.81553,3745,7086,87317080,RS,FEPAM,Lagoa Pinguela,2,-29.81553,-50.13661,4,,,,,,,,,,,,,,,,,,4.425,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8.4,
-44.678639,-23.268583,3746,7087,00RJ11PM0090,RJ,INEA,Rio Parati-Mirim,1,-23.268583,-44.678639,5,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,2300
-47.683611,-22.5813889999999,3747,7088,CRUM02300,SP,CETESB,Rio Corumbataí,1,-22.581389,-47.683611,7,,,,,,,,,,,,,,,,,,,10862.85714286,,,,,,,,,,,,,,,,,,,940,,,,,,,,,,,,,,,,,,,46000
-46.7327999999999,-23.6657999999999,3748,7089,PBAX04600,SP,CETESB,Córrego da Ponte Baixa,1,-23.6658,-46.7328,3,,,,,,,,,,,,,,,,,,,3773333.33333333,,,,,,,,,,,,,,,,,,,220000,,,,,,,,,,,,,,,,,,,7800000
-52.2855299999999,-31.7558299999999,3749,7090,88840000,RS,FEPAM,Arroio Pelotas,1,-31.75583,-52.28553,5,,,,,,,,,,,,,,,,,,,696.9,,,,,,,,,,,,,,,,,,,63.8,,,,,,,,,,,,,,,,,,,1203.3
