X,Y,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE,NUOD,MEDOD,MINOD,MAXOD,DEVOD,LATITUDE,LONGITUDE
-46.8557999999999,-23.6005999999999,311,733,MOVE03400,2021,SP,CETESB,Ribeirão Moinho Velho,1,7,2.258571,1.16,3.17,0.829868,-23.6006,-46.8558
-46.58,-23.6,312,734,NINO04900,2021,SP,CETESB,Ribeirão dos Meninos,1,7,2.84,0.37,5.28,2.111603,-23.6,-46.58
-46.6861,-23.5991999999999,313,735,TRAI04800,2021,SP,CETESB,Córrego da Traição,1,10,3.894,1.11,6.97,1.857018,-23.5992,-46.6861
-46.881389,-23.5988889999999,314,736,COTI03800,2021,SP,CETESB,Rio Cotia,1,7,1.641429,0.85,3.91,1.087297,-23.598889,-46.881389
-46.5822219999999,-23.5947219999999,315,738,TAMT04600,2021,SP,CETESB,Rio Tamanduateí,1,6,2.498333,0.34,5.27,1.867441,-23.594722,-46.582222
-46.692778,-23.5930559999999,316,739,PINH04500,2021,SP,CETESB,Rio Pinheiros,1,10,1.027,0.5,1.63,0.396906,-23.593056,-46.692778
-48.4944439999999,-23.591111,317,740,PARP02100,2021,SP,CETESB,Rio Paranapanema,1,9,7.888889,6.8,9.3,0.910281,-23.591111,-48.494444
-46.2780559999999,-23.578611,318,742,PEBA00900,2021,SP,CETESB,Reservatório Taiaçupeba,2,8,7.51375,5.92,9.17,0.912437,-23.578611,-46.278056
-46.608889,-23.5780559999999,319,743,IPIR04900,2021,SP,CETESB,Córrego do Ipiranga,1,7,6.125714,1.96,8.65,2.691572,-23.578056,-46.608889
-45.3191669999999,-23.5780559999999,320,744,COCA02900,2021,SP,CETESB,Rio Cocanha,1,6,6.85,4.1,7.9,1.436315,-23.578056,-45.319167
-46.8858329999999,-23.576944,321,745,PEDA03900,2021,SP,CETESB,Ribeirão das Pedras,1,7,1.904286,0.21,4.83,1.637792,-23.576944,-46.885833
-46.3552779999999,-23.5763889999999,322,746,GUAO02600,2021,SP,CETESB,Rio Guaió,1,5,1.472,0.9,2.21,0.510852,-23.576389,-46.355278
-45.2738889999999,-23.573611,323,747,TABA02900,2021,SP,CETESB,Rio Tabatinga,1,4,5,3.1,6.8,1.779513,-23.573611,-45.273889
-45.2961109999999,-23.569722,324,748,MOCO02900,2021,SP,CETESB,Rio Mocooca,1,4,7.55,6.8,8.2,0.704746,-23.569722,-45.296111
-46.756944,-23.5674999999999,325,749,UARE04550,2021,SP,CETESB,Córrego do Jaguaré,1,10,3.096,0.22,8.61,2.815675,-23.5675,-46.756944
-46.093333,-23.566389,326,750,BMIR02800,2021,SP,CETESB,Rio Biritiba-Mirim,1,5,5.746,2.24,7.97,2.115828,-23.566389,-46.093333
-46.0158329999999,-23.5649999999999,327,751,TIET02050,2021,SP,CETESB,Rio Tietê,1,5,5.084,2.28,6.95,1.887414,-23.565,-46.015833
-46.713611,-23.5641669999999,328,752,JUÇA04900,2021,SP,CETESB,Córrego do Pirajussara,1,11,1.554545,0.21,4.17,1.389916,-23.564167,-46.713611
-51.030833,-23.560556,329,753,64502000,2021,PR,Águas Paraná,Rio Taquara,1,4,10.2575,9,11.76,1.140946,-23.560556,-51.030833
-48.371944,-23.5569439999999,330,754,ITAP02800,2021,SP,CETESB,Rio Itapetininga,1,9,7.111111,5.2,8.8,1.055278,-23.556944,-48.371944
-46.6958,-23.55,331,755,KUJA04350,2021,SP,CETESB,Córrego das Corujas,1,7,5.185714,3.7,6.24,0.969172,-23.55,-46.6958
-50.8799999999999,-23.55,332,756,64501950,2021,PR,Águas Paraná,Rio São Jerônimo,1,4,7.555,6,9,1.534699,-23.55,-50.88
-46.1358329999999,-23.5486109999999,333,757,TIET02090,2021,SP,CETESB,Rio Tietê,1,8,4.135,2.35,5.8,1.290504,-23.548611,-46.135833
-45.2327779999999,-23.545833,334,758,DUBA02900,2021,SP,CETESB,Rio Maranduba,1,4,6.95,5,8.2,1.377195,-23.545833,-45.232778
-46.2436109999999,-23.5427779999999,335,759,JUNI03950,2021,SP,CETESB,Rio Jundiaí - UGHRI 06,1,5,1.302,0.31,2.72,0.878277,-23.542778,-46.243611
-47.445278,-23.54,336,760,SORO02050,2021,SP,CETESB,Rio Sorocaba,1,8,7.85,7.3,8.5,0.456696,-23.54,-47.445278
-46.2705559999999,-23.5394439999999,337,761,TAIA02900,2021,SP,CETESB,Rio Taiaçupeba-Açu,1,6,2.256667,0.98,3.79,1.038435,-23.539444,-46.270556
-46.7449999999999,-23.5375,338,763,MACK04900,2021,SP,CETESB,Córrego da Av. Alexandre Mackenzie,1,7,4.395714,2.32,5.18,0.977869,-23.5375,-46.745
-46.7483329999999,-23.531111,339,764,PINH04900,2021,SP,CETESB,Rio Pinheiros,1,11,0.692727,0.28,1.4,0.306923,-23.531111,-46.748333
-46.632222,-23.526667,340,765,TAMT04900,2021,SP,CETESB,Rio Tamanduateí,1,8,1.24,0.21,4.25,1.378477,-23.526667,-46.632222
-46.5591669999999,-23.525278,341,766,TIET04170,2021,SP,CETESB,Rio Tietê,1,5,1.208,0.21,3.45,1.336121,-23.525278,-46.559167
-46.5583329999999,-23.524444,342,767,DUVA04900,2021,SP,CETESB,Rio Aricanduva,1,5,2.008,0.83,3.78,1.232222,-23.524444,-46.558333
-46.631111,-23.521667,343,768,TIET04180,2021,SP,CETESB,Rio Tietê,1,5,0.998,0.21,2.17,0.750646,-23.521667,-46.631111
-46.3280559999999,-23.521111,344,769,GUAO02900,2021,SP,CETESB,Rio Guaió,1,5,1.872,0.39,4.2,1.464128,-23.521111,-46.328056
-46.746389,-23.5197219999999,345,770,TIET04200,2021,SP,CETESB,Rio Tietê,1,8,0.93875,0.21,2.05,0.595565,-23.519722,-46.746389
-46.199444,-23.5183329999999,346,771,IPIG03950,2021,SP,CETESB,Ribeirão Ipiranga,1,7,2.702857,0.85,5.19,1.837205,-23.518333,-46.199444
-45.191944,-23.514444,347,772,GOIN02900,2021,SP,CETESB,Rio Lagoinha,1,4,5.85,4.2,6.8,1.135782,-23.514444,-45.191944
-46.860833,-23.505556,348,773,SJBA04950,2021,SP,CETESB,Cor. São João do Barueri,1,7,0.781429,0.21,1.62,0.458891,-23.505556,-46.860833
-46.336944,-23.503056,349,774,TIET03120,2021,SP,CETESB,Rio Tietê,1,6,1.103333,0.21,2.04,0.69015,-23.503056,-46.336944
-49.8867,-23.4972,350,775,64365850,2021,PR,Águas Paraná,Rio Jacaré,1,4,8.2025,7,9.38,1.164084,-23.4972,-49.8867
-45.163889,-23.490833,351,777,CURO02900,2021,SP,CETESB,Rio Escuro,1,4,6.975,6.7,7.4,0.30957,-23.490833,-45.163889
-48.905,-23.4893999999999,352,778,BOIB02950,2021,SP,CETESB,Córr. Boi Branco,1,6,5.516667,3.7,6.8,1.215593,-23.4894,-48.905
-46.326944,-23.4886109999999,353,779,JGUA03950,2021,SP,CETESB,Ribeirão Jaguari - UGRHI 06,1,5,0.71,0.36,1.14,0.279016,-23.488611,-46.326944
-45.1061109999999,-23.487222,354,780,PEMI02900,2021,SP,CETESB,Rio Perequê-Mirim,1,4,6.875,6.5,7.2,0.330404,-23.487222,-45.106111
-48.454444,-23.485833,355,781,GREI02750,2021,SP,CETESB,Rio Guareí,1,9,8.444444,6.2,12.2,1.908606,-23.485833,-48.454444
-46.440278,-23.480556,356,782,KERA04990,2021,SP,CETESB,Ribeirão Itaquera,1,5,1.854,0.44,6,2.387652,-23.480556,-46.440278
-47.443889,-23.478333,357,783,SORO02100,2021,SP,CETESB,Rio Sorocaba,1,7,5.371429,4,6.9,1.174329,-23.478333,-47.443889
-46.499722,-23.476667,358,784,TIET04150,2021,SP,CETESB,Rio Tietê,1,6,1.188333,0.21,3.71,1.307385,-23.476667,-46.499722
-46.561389,-23.4736109999999,359,785,CABU04700,2021,SP,CETESB,Rio Cabuçu,1,5,1.894,0.48,4.76,1.668781,-23.473611,-46.561389
-46.3472219999999,-23.471944,360,786,TIET03130,2021,SP,CETESB,Rio Tietê,1,6,0.75,0.3,1.38,0.374273,-23.471944,-46.347222
