X,Y,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE,NUIQA,MEDIQA,MINIQA,MAXIQA,DEVIQA,LATITUDE,LONGITUDE
-45.90275,-17.1998599999999,956,2449,PT010,2021,MG,IGAM,Rio Caatinga,1,8,67.323504,45.961918,80.828264,13.533225,-17.19986,-45.90275
-44.98,-17.1799999999999,957,2451,BPE6,2021,MG,IGAM,Represa de Três Marias,2,24,84.746824,63.739185,93.679532,7.377879,-17.18,-44.98
-46.8199999999999,-17.1399999999999,958,2455,,2021,MG,,,2,4,79.10274,75.981604,81.327532,2.244088,-17.14,-46.82
-43.23,-17.1299999999999,959,2461,BPE9,2021,MG,IGAM,Córrego dos Gomes,1,23,72.637211,51.562044,93.115015,11.05466,-17.13,-43.23
-46.7665299999999,-17.12053,960,2464,PTE029,2021,MG,IGAM,Ribeirão São Pedro (SF7),1,8,69.559731,47.839383,79.178966,10.715974,-17.12053,-46.76653
-43.83,-17.09,961,2470,SFC001,2021,MG,IGAM,Rio Guavanipã,1,8,33.200805,15.909542,53.198165,10.862947,-17.09,-43.83
-44.71667,-17.0833299999999,962,2471,SF021,2021,MG,IGAM,Rio Jequitaí,1,8,75.041437,54.844791,91.921227,12.890489,-17.08333,-44.71667
-46.0931399999999,-17.0595299999999,963,2472,PTE035,2021,MG,IGAM,Rio Verde (SF7),1,8,74.272393,66.481487,77.589429,3.761752,-17.05953,-46.09314
-39.5445,-17.045111,964,2474,PIJJUN400,2021,BA,INGÁ,Jucuruçu-Braço Norte,1,5,66.758667,57.146112,72.891942,5.886123,-17.045111,-39.5445
-46.81506,-17.03844,965,2476,PTE025,2021,MG,IGAM,Ribeirão São Pedro (SF7),1,8,68.34901,44.857197,77.264309,11.508144,-17.03844,-46.81506
-47.1624399999999,-17.03414,966,2479,PB035,2021,MG,IGAM,Rio São Marcos,1,8,73.449003,52.968216,83.20169,11.147182,-17.03414,-47.16244
